Alsis Application Code,Alsis Application Name,Valid from,Insert date,Alsis Application Info
000       ,Scrap Cd & Ncd,null,null,000       Scrap Cd & Ncd
001       ,null,null,null,null
101       ,"Crude Palm Oil, ED",null,null,"101       Crude Palm Oil, ED"
102       ,"Olive oil, ED",null,null,"102       Olive oil, ED"
103       ,Slop Oil,null,null,103       Slop Oil
104       ,Fruit Juice and Still Drinks,null,null,104       Fruit Juice and Still Drinks
105       ,Dairy & Icecream,null,null,105       Dairy & Icecream
106       ,Steel & COG,ED Process,null,106       Steel & COG
107       ,Pulp & Paper,null,null,107       Pulp & Paper
108       ,Starch & Sweeteners,null,null,108       Starch & Sweeteners
109       ,"Biotech, ED",null,null,"109       Biotech, ED"
110       ,Other Food,null,null,110       Other Food
111       ,Latex,null,null,111       Latex
112       ,Polymers & fibres,null,null,112       Polymers & fibres
113       ,Other inorganic chemicals,null,null,113       Other inorganic chemicals
114       ,Organic basic chemicals,null,null,114       Organic basic chemicals
115       ,Pharmaceuticals,null,null,115       Pharmaceuticals
116       ,Production Slop Oil,null,null,116       Production Slop Oil
117       ,"Brewery, ED",null,null,"117       Brewery, ED"
118       ,Distillery,null,null,118       Distillery
119       ,Fertilzer products,null,null,119       Fertilzer products
120       ,Fish (By-Product) Processing - Inedible,null,null,120       Fish (By-Product) Processing - Inedible
121       ,Municipal desalination,null,null,121       Municipal desalination
123       ,Power turbine other applications,null,null,123       Power turbine other applications
124       ,Oil & gas Utilities Watermakers,null,null,124       Oil & gas Utilities Watermakers
125       ,Nuclear power,null,null,125       Nuclear power
126       ,"HVAC, District cooling",ED Equipme,null,"126       HVAC, District cooling"
127       ,Drilling,null,null,127       Drilling
128       ,Marine cargo handling,null,null,128       Marine cargo handling
129       ,Marine engine cooling,null,null,129       Marine engine cooling
133       ,Meat (By-Product) Processing - Inedible,null,null,133       Meat (By-Product) Processing - Inedible
134       ,Oil & gas Utilities Fuel and lube oil treatment,null,null,134       Oil & gas Utilities Fuel and lube oil treatment
135       ,Marine fuel oil treatment,null,null,135       Marine fuel oil treatment
136       ,Marine hydraulic oil treatment,null,null,136       Marine hydraulic oil treatment
137       ,Marine lube oil treatment,null,null,137       Marine lube oil treatment
138       ,Marine waste treatment,null,null,138       Marine waste treatment
139       ,"Metal working incl Vehicle, oil based service liquids",null,null,"139       Metal working incl Vehicle, oil based service liquids"
140       ,"Diesel Engine Manufacturers, Built-on eq",null,null,"140       Diesel Engine Manufacturers, Built-on eq"
141       ,Marine Tank Cleaning,null,null,141       Marine Tank Cleaning
142       ,Power turbine fuel treatment,null,null,142       Power turbine fuel treatment
143       ,"Sludge Treatment, Municipal Waste",null,null,"143       Sludge Treatment, Municipal Waste"
144       ,"Sludge Treatment, Industrial Waste",null,null,"144       Sludge Treatment, Industrial Waste"
145       ,Crude oil refinery - Utility and treatme,null,null,145       Crude oil refinery - Utility and treatme
146       ,Mining & mineral processing (incl pigmen,null,null,146       Mining & mineral processing (incl pigmen
147       ,Seed Oil Processing -Food Use,null,null,147       Seed Oil Processing -Food Use
148       ,Seed Oil Processing -Technical Use (excl,null,null,148       Seed Oil Processing -Technical Use (excl
150       ,Air conditioning / heat pump,ED Equipme,null,150       Air conditioning / heat pump
151       ,Combi-boiler manufacturing,null,null,151       Combi-boiler manufacturing
152       ,Compressor manufacturing,null,null,152       Compressor manufacturing
153       ,General Manufacturing industry,null,null,153       General Manufacturing industry
154       ,Palm Oil & Other Tropical Oils Processin,null,null,154       Palm Oil & Other Tropical Oils Processin
155       ,"Electronic/Semi Conductor manufact, serv",null,null,"155       Electronic/Semi Conductor manufact, serv"
156       ,Textile industry,null,null,156       Textile industry
157       ,"Vehicle Manufact, oil based service liquids",null,null,"157       Vehicle Manufact, oil based service liquids"
158       ,"HVAC, Heating other",null,null,"158       HVAC, Heating other"
159       ,"HVAC, Cooling other",null,null,"159       HVAC, Cooling other"
160       ,"HVAC, District heating",null,null,"160       HVAC, District heating"
161       ,Industrial steam heating,null,null,161       Industrial steam heating
