Company Code,Division Code,Branch Location Code,Branch Location Name,Activity Code,Data Source,Region,Common Location,Branch Location Info
null,null,1,Thane,Non-Mfg,VAX,West,34-Thane,1-Thane
null,null,2,Pune HO,Non-Mfg,VAX,West,28-Pune HO,2-Pune HO
null,null,3,Sarole,Non-Mfg,VAX,West,31-Satara Warehouse,3-Sarole
null,null,4,Delhi Depot,Non-Mfg,VAX,North,12-Delhi Depot,4-Delhi Depot
null,null,6,Exports,Non-Mfg,VAX,Exports,14-Exports,6-Exports
null,null,7,Baroda,Non-Mfg,VAX,West,05-Baroda,7-Baroda
null,null,8,Satara,Non-Mfg,VAX,West,30-Satara Factory,8-Satara
null,null,9,Banglore,Non-Mfg,VAX,South,04-Banglore,9-Banglore
null,null,A,Delhi,Non-Mfg,VAX,North,11-Delhi,A-Delhi
null,null,B,Bangladesh,Non-Mfg,VAX,Exports,03-Bangladesh,B-Bangladesh
null,null,D,Anand,Non-Mfg,VAX,West,02-Anand,D-Anand
null,null,DU00,Dubai,SCALA,SCALA,Exports,13-Dubai,DU00-Dubai
null,null,E,Cochin,Non-Mfg,VAX,South,10-Cochin,E-Cochin
null,null,EX00,Exports,SCALA,SCALA,Exports,14-Exports,EX00-Exports
null,null,F,SriLanka,Non-Mfg,VAX,Exports,32-SriLanka,F-SriLanka
null,null,H,Hyderabad,Non-Mfg,VAX,South,15-Hyderabad,H-Hyderabad
null,null,I,Ludhiana,Non-Mfg,VAX,North,21-Ludhiana,I-Ludhiana
null,null,IN00,Alfa Laval,SCALA,SCALA,West,01-Alfa Laval,IN00-Alfa Laval
null,null,IN11,Calcutta,SCALA,SCALA,East,07-Calcutta,IN11-Calcutta
null,null,IN21,Mumbai,SCALA,SCALA,West,22-Mumbai,IN21-Mumbai
null,null,IN22,Baroda,SCALA,SCALA,West,05-Baroda,IN22-Baroda
null,null,IN23,Pune,SCALA,SCALA,West,26-Pune,IN23-Pune
null,null,IN31,Delhi,SCALA,SCALA,North,11-Delhi,IN31-Delhi
null,null,IN33,Chandigarh,SCALA,SCALA,North,08-Chandigarh,IN33-Chandigarh
null,null,IN41,Banglore,SCALA,SCALA,South,04-Banglore,IN41-Banglore
null,null,IN42,Hyderabad,SCALA,SCALA,South,15-Hyderabad,IN42-Hyderabad
null,null,IN43,Chennai,SCALA,SCALA,South,09-Chennai,IN43-Chennai
null,null,IN51,Indore,SCALA,SCALA,West,16-Indore,IN51-Indore
null,null,IN52,Bhopal,SCALA,SCALA,West,06-Bhopal,IN52-Bhopal
null,null,J,Jaipur,Non-Mfg,VAX,North,17-Jaipur,J-Jaipur
null,null,K,Kanpur,Non-Mfg,VAX,North,19-Kanpur,K-Kanpur
null,null,L,Visakhapatnam,Non-Mfg,VAX,South,35-Visakhapatnam,L-Visakhapatnam
null,null,LK00,SriLanka,SCALA,SCALA,Exports,32-SriLanka,LK00-SriLanka
null,null,LKM,LKM Group,SCALA,SCALA,West,20-LKM Group,LKM-LKM Group
null,null,M,Chennai,Non-Mfg,VAX,South,09-Chennai,M-Chennai
null,null,N,Mumbai,Non-Mfg,VAX,West,22-Mumbai,N-Mumbai
null,null,NP00,Nepal,SCALA,SCALA,Exports,24-Nepal,NP00-Nepal
null,null,OTH,Other,SCALA,SCALA,Others,99-Other,OTH-Other
null,null,P,Indore,Non-Mfg,VAX,West,16-Indore,P-Indore
null,null,Q,Jamshedpur,Non-Mfg,VAX,East,18-Jamshedpur,Q-Jamshedpur
null,null,R,Nagpur,Non-Mfg,VAX,West,23-Nagpur,R-Nagpur
null,null,S,Raipur,Non-Mfg,VAX,West,29-Raipur,S-Raipur
null,null,T,Patna,Non-Mfg,VAX,East,25-Patna,T-Patna
null,null,TP00,Tetrapak,SCALA,SCALA,West,33-Tetrapak,TP00-Tetrapak
null,null,U,Nepal,Non-Mfg,VAX,Exports,24-Nepal,U-Nepal
