MU Code,MU Name,Seg Code,MISAL Div,Local Div,An05 code,Seg Name,Seg Div Code,Seg Div Name,Seg Div Info,Segment Info,MU Info,SEGMENT CODE,SEGMENT NAME,DIVISION CODE,DIVISION NAME,MU_Marine,Segment Info PBI,Division Info PBI,Sort_Order
1113,ED GPHE process,,Energy Division,EN,1111130,null,null,null,null,-,1113 ED GPHE process,GPP,Gasketed Plate Heat Exchangers Process,ED,Energy,All,GPP-Gasketed Plate Heat Exchangers Process,ED-Energy,1
1115 ,ED GPHE Equipment,,Energy Division,EN,1111150,null,null,null,null,-,1115  ED GPHE Equipment,GPH,Gasketed Plate Heat Exchangers Equipment,ED,Energy,All,GPH-Gasketed Plate Heat Exchangers Equipment,ED-Energy,1
1225 ,ED BHE,BFB,Energy Division,EN,1112250,Brazed & Fusion Bonded Heat Exchangers,null,null,-,BFB-Brazed & Fusion Bonded Heat Exchangers,1225  ED BHE,BFB,Brazed & Fusion Bonded Heat Exchangers,ED,Energy,All,BFB-Brazed & Fusion Bonded Heat Exchangers,ED-Energy,1
1320 ,ED WHE,WHE,Energy Division,EN,1113200,Welded Heat Exchangers,null,null,-,WHE-Welded Heat Exchangers,1320  ED WHE,WHE,Welded Heat Exchangers,ED,Energy,All,WHE-Welded Heat Exchangers,ED-Energy,1
1330 ,Energy Other HEX,WHE,Energy Division,EN,1213300,Welded Heat Exchangers,null,null,-,WHE-Welded Heat Exchangers,1330  Energy Other HEX,WHE,Welded Heat Exchangers,ED,Energy,All,WHE-Welded Heat Exchangers,ED-Energy,1
1405 ,ED HSS,ENS,Energy Division,EN,1114050,Energy Separation,null,null,-,ENS-Energy Separation,1405  ED HSS,ENS,Energy Separation,ED,Energy,All,ENS-Energy Separation,ED-Energy,1
1410 ,ED Decanters,ENS,Energy Division,EN,1114100,Energy Separation,null,null,-,ENS-Energy Separation,1410  ED Decanters,ENS,Energy Separation,ED,Energy,All,ENS-Energy Separation,ED-Energy,1
1465 ,ED FWG & Evaporator,ENS,Energy Division,EN,1114650,Energy Separation,null,null,-,ENS-Energy Separation,1465  ED FWG & Evaporator,ENS,Energy Separation,ED,Energy,All,ENS-Energy Separation,ED-Energy,1
1470 ,ED Other Separation,ENS,Energy Division,EN,1114700,Energy Separation,null,null,-,ENS-Energy Separation,1470  ED Other Separation,ENS,Energy Separation,ED,Energy,All,ENS-Energy Separation,ED-Energy,1
1815 ,ED GPHE,GPH,Energy Division,EN,null,Gasketed Plate Heat Exchangers,null,null,-,GPH-Gasketed Plate Heat Exchangers,1815  ED GPHE,null,null,null,null,All,null,null,4
