ID,Source,Closing Pending Quantity,Opening Pending Quantity,Invoice Quantity,New Order Quantity,New Order Value FCN,New Order Value INR,New Order Cost,Closing Order Pending Cost,Closing Order Pending Value FCN,Closing Order Pending Value INR,Opening Order Pending Cost,Opening Order Pending Value FCN,Opening Order Pending Value INR,Invoice Cost,Invoice Value FCN,Invoice Value INR,Invoice Cost Calculated,Contribution Amount,Customer Order No,Order Line No,Contribution Percent,Bucket Line Id,New Order Value Tag ID,Contribution Tag ID,New Order Value INR New,New Exchange Rate,alsis application,alsis channel,alsis productgroup,alsis scope,Order MU Code,Other Dimension Source,Current MU Code,Current MU Priority,Shipping Address No,Currency,Payment Method Accounts Receivable ID,Order Type,Customer No,Warehouse,Facility,Item No,Project No,Cost Center Code,Proj Ele Code,Order Date,Salesperson,Closing Date,Opening Date,Alsis Scope Code,Payment Terms,Order Amt Tag,Branch Loaction Code,Company Code,Division Code,Order Line Type
406673126,Project,1,-1,0,0,0,0,0,54626.42,0,0,-54626.42,0,0,0,0,0,0,0,6500063,829     ,0,62,838,838,0,1,210,701  ,8804 ,A,5471 ,Closing,null,null,KRISH ,INR,null,null,H307,P65,PRJ,null,null,null,6500063 ,6/22/2010 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,PFR
406673127,Project,1,-1,0,0,0,0,0,253282.41,0,0,-253282.41,0,0,0,0,0,0,0,6500063,830     ,0,62,838,838,0,1,210,701  ,8804 ,A,5471 ,Closing,null,null,      ,INR,null,null,H307,025,PRJ,null,null,null,6500063 ,6/22/2010 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,PFS
406673128,Project,1,-1,0,0,0,0,0,189715,0,0,-189715,0,0,0,0,0,0,0,6500063,831     ,0,62,838,838,0,1,210,701  ,8804 ,A,5471 ,Closing,null,null,KRISH ,INR,null,null,H307,P65,PRJ,null,null,null,6500063 ,9/8/2010 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,PFR
406673129,Project,1,-1,0,0,0,0,0,0.84,0,0,-0.84,0,0,0,0,0,0,0,6500063,832     ,0,62,838,838,0,1,210,701  ,8804 ,A,5471 ,Closing,null,null,KRISH ,INR,null,null,H307,P65,PRJ,null,null,null,6500063 ,10/5/2010 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,OPO
406673130,Project,1,-1,0,0,0,0,0,-210152.16,0,0,210152.16,0,0,0,0,0,0,0,6500063,833     ,0,62,838,838,0,1,210,701  ,8804 ,A,5471 ,Closing,null,null,KRISH ,INR,null,null,H307,P65,PRJ,null,null,null,6500063 ,10/5/2010 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,OPO
406673131,Project,1,-1,0,0,0,0,0,0.84,0,0,-0.84,0,0,0,0,0,0,0,6500063,834     ,0,62,838,838,0,1,210,701  ,8804 ,A,5471 ,Closing,null,null,KRISH ,INR,null,null,H307,P65,PRJ,null,null,null,6500063 ,10/5/2010 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,OPO
406673132,Project,1,-1,0,0,0,0,0,0.84,0,0,-0.84,0,0,0,0,0,0,0,6500063,835     ,0,62,838,838,0,1,210,701  ,8804 ,A,5471 ,Closing,null,null,KRISH ,INR,null,null,H307,P65,PRJ,null,null,null,6500063 ,10/5/2010 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,OPO
406673133,Project,1,-1,0,0,0,0,0,0.84,0,0,-0.84,0,0,0,0,0,0,0,6500063,836     ,0,62,838,838,0,1,210,701  ,8804 ,A,5471 ,Closing,null,null,KRISH ,INR,null,null,H307,P65,PRJ,null,null,null,6500063 ,10/5/2010 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,OPO
406673134,Project,1,-1,0,0,0,0,0,0.84,0,0,-0.84,0,0,0,0,0,0,0,6500063,837     ,0,62,838,838,0,1,210,701  ,8804 ,A,5471 ,Closing,null,null,KRISH ,INR,null,null,H307,P65,PRJ,null,null,null,6500063 ,10/5/2010 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,OPO
406673135,Project,1,-1,0,0,0,0,0,7772,0,0,-7772,0,0,0,0,0,0,0,6500063,838     ,0,62,838,838,0,1,210,701  ,8804 ,A,5471 ,Closing,null,null,      ,INR,null,null,H307,009,PRJ,null,null,null,6500063 ,12/17/2010 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,PFR
406673136,Project,1,-1,0,0,0,0,0,729071.29,0,0,-729071.29,0,0,0,0,0,0,0,6500063,839     ,0,62,838,838,0,1,210,701  ,8804 ,A,5471 ,Closing,null,null,KRISH ,INR,null,null,H307,009,PRJ,null,null,null,6500063 ,2/7/2011 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,PFR
406673137,Project,1,-1,0,0,0,0,0,142650,0,0,-142650,0,0,0,0,0,0,0,6500064,488     ,0,62,838,838,0,1,921,701  ,8906 ,A,8571 ,Closing,null,null,      ,INR,null,null,G525,P65,PRJ,null,null,null,6500064 ,1/23/2008 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,PSR
406673138,Project,1,-1,0,0,0,0,0,37971.2,0.08,0.08,-37971.2,-0.08,-0.08,0,0,0,0,0,6500064,801     ,0,62,838,838,0,1,921,701  ,8906 ,A,8571 ,Closing,null,null,SONEPA,INR,null,null,G525,P65,PRJ,null,null,null,6500064 ,11/7/2007 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,OPO
406673139,Project,1,-1,0,0,0,0,0,5.7,0,0,-5.7,0,0,0,0,0,0,0,6500065,102     ,0,62,838,838,0,1,210,701  ,8906 ,A,5471 ,Closing,null,null,      ,INR,null,null,F072,003,PRJ,null,null,null,6500065 ,2/14/2008 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,OP1
406673140,Project,1,-1,0,0,0,0,0,-349935,960000,960000,349935,-960000,-960000,0,0,0,0,0,6500065,103     ,0,62,838,838,0,1,210,701  ,8906 ,A,5471 ,Closing,null,null,      ,INR,null,null,F072,003,PRJ,null,null,null,6500065 ,2/14/2008 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,OP1
406673141,Project,1,-1,0,0,0,0,0,-1050,0,0,1050,0,0,0,0,0,0,0,6500065,104     ,0,62,838,838,0,1,210,701  ,8906 ,A,5471 ,Closing,null,null,      ,INR,null,null,F072,003,PRJ,null,null,null,6500065 ,2/14/2008 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,OP1
406673142,Project,1,-1,0,0,0,0,0,1400000,2333000,2333000,-1400000,-2333000,-2333000,0,0,0,0,0,6500065,105     ,0,62,838,838,0,1,null,null,null,null,null,Closing,null,null,null,INR,null,null,null,null,PRJ,null,null,null,6500065 ,null,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,Unknown,null,Basic Business,null,null,null,null
406673143,Project,1,-1,0,0,0,0,0,31050,68000,68000,-31050,-68000,-68000,0,0,0,0,0,6500065,106     ,0,62,838,838,0,1,210,701  ,8906 ,P,5471 ,Closing,null,null,SINNAR,INR,null,null,F072,P65,PRJ,null,null,null,6500065 ,11/20/2007 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,P,null,Basic Business,null,null,null,OPO
406673144,Project,1,-1,0,0,0,0,0,12500,0,0,-12500,0,0,0,0,0,0,0,6500065,107     ,0,62,838,838,0,1,210,701  ,9162 ,A,5471 ,Closing,null,null,SINNAR,INR,null,null,F072,P65,PRJ,null,null,null,6500065 ,11/20/2007 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,OPO
406673145,Project,1,-1,0,0,0,0,0,67600,0,0,-67600,0,0,0,0,0,0,0,6500065,108     ,0,62,838,838,0,1,210,701  ,8906 ,A,5471 ,Closing,null,null,SINNAR,INR,null,null,F072,P65,PRJ,null,null,null,6500065 ,11/20/2007 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,OPO
406673146,Project,1,-1,0,0,0,0,0,80000,131000,131000,-80000,-131000,-131000,0,0,0,0,0,6500065,109     ,0,62,838,838,0,1,null,null,null,null,null,Closing,null,null,null,INR,null,null,null,null,PRJ,null,null,null,6500065 ,null,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,Unknown,null,Basic Business,null,null,null,null
406673147,Project,1,-1,0,0,0,0,0,450000,738000,738000,-450000,-738000,-738000,0,0,0,0,0,6500065,110     ,0,62,838,838,0,1,null,null,null,null,null,Closing,null,null,null,INR,null,null,null,null,PRJ,null,null,null,6500065 ,null,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,Unknown,null,Basic Business,null,null,null,null
406673148,Project,1,-1,0,0,0,0,0,112554.9,0,0,-112554.9,0,0,0,0,0,0,0,6500065,111     ,0,62,838,838,0,1,210,701  ,3055 ,P,5471 ,Closing,null,null,SINNAR,INR,null,null,F072,P65,PRJ,null,null,null,6500065 ,11/20/2007 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,P,null,Basic Business,null,null,null,OPO
406673149,Project,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6500065,112     ,0,62,838,838,0,1,null,null,null,null,null,Closing,null,null,null,INR,null,null,null,null,PRJ,null,null,null,6500065 ,null,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,Unknown,null,Basic Business,null,null,null,null
406673150,Project,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6500065,113     ,0,62,838,838,0,1,null,null,null,null,null,Closing,null,null,null,INR,null,null,null,null,PRJ,null,null,null,6500065 ,null,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,Unknown,null,Basic Business,null,null,null,null
406673151,Project,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6500065,114     ,0,62,838,838,0,1,null,null,null,null,null,Closing,null,null,null,INR,null,null,null,null,PRJ,null,null,null,6500065 ,null,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,Unknown,null,Basic Business,null,null,null,null
406673152,Project,1,-1,0,0,0,0,0,40000,66000,66000,-40000,-66000,-66000,0,0,0,0,0,6500065,115     ,0,62,838,838,0,1,null,null,null,null,null,Closing,null,null,null,INR,null,null,null,null,PRJ,null,null,null,6500065 ,null,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,Unknown,null,Basic Business,null,null,null,null
406673153,Project,1,-1,0,0,0,0,0,60000,98000,98000,-60000,-98000,-98000,0,0,0,0,0,6500065,116     ,0,62,838,838,0,1,null,null,null,null,null,Closing,null,null,null,INR,null,null,null,null,PRJ,null,null,null,6500065 ,null,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,Unknown,null,Basic Business,null,null,null,null
406673154,Project,1,-1,0,0,0,0,0,1464.58,0,0,-1464.58,0,0,0,0,0,0,0,6500065,118     ,0,62,838,838,0,1,210,701  ,8906 ,A,5471 ,Closing,null,null,SINNAR,INR,null,null,F072,P65,PRJ,null,null,null,6500065 ,11/20/2007 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,OPO
406673155,Project,1,-1,0,0,0,0,0,111269.3,56000,56000,-111269.3,-56000,-56000,0,0,0,0,0,6500065,120     ,0,62,838,838,0,1,210,701  ,9162 ,A,5471 ,Closing,null,null,      ,INR,null,null,F072,P65,PRJ,null,null,null,6500065 ,11/20/2007 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,OPO
406673156,Project,1,-1,0,0,0,0,0,27258.49,0,0,-27258.49,0,0,0,0,0,0,0,6500065,121     ,0,62,838,838,0,1,210,701  ,9162 ,A,5471 ,Closing,null,null,      ,INR,null,null,F072,P65,PRJ,null,null,null,6500065 ,11/20/2007 12:00:00 AM,null,6/30/2023 12:00:00 AM,5/31/2023 12:00:00 AM,A,null,Basic Business,null,null,null,OPO
