Co Code,Bus Entity,Profit Centre,Project Code,Project,Project Region Old,SegForSegReprt_SEGMENT,Division,Post Code,City,District,Postal Area,Street,Project Type,CompanyGroup,Company Group_Old,Profit Center Name,Profit Center Long Name,Profit Center Short Name,Profit Center Source,Project Region,Region Code,Inventory Status,Company Group,Company,FLAG1,FLAG2,FLAG3
3000,WVSSG1,SVWVSSG01,Vasind,NH Vasind,West,R100,Value Homes,421604,Mumbai,Thane,,"Mumbai -Nasik Highway, Shahpur",Residential,TV,Tata Value Homes,Vasind SG PH1,Vasind SG PH 1,VASIND SG PH1,SAP,West,W,COMPLETED,Tata Value Homes,Tata Value Homes Limited,,X,
1000,WBSSG1,THWBRSV01,Boisar,NH Boisar I,West,R100,Value Homes,401506,Mumbai,Thane,,Chillar Road,Residential,TH,Tata Housing,"SG, Boisar  Phase 1","SG, Boisar  Phase 1","SG, BOISAR  PHASE 1",SAP,West,W,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1000,WBSNH1,THWBRNA01,Boisar,NH Boisar I,West,R110,Affortable Homes,401506,Mumbai,Thane,,Chillar Road,Residential,TH,Tata Housing,"NH, Boisar  Phase 1","NH, Boisar  Phase 1","NH, BOISAR  PHASE 1",SAP,West,W,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1000,WBSNH1,THWBRNA02,Boisar,NH Boisar I,West,R110,Affortable Homes,401506,Mumbai,Thane,,Chillar Road,Residential,TH,Tata Housing,"NH, Boisar  Phase 2","NH, Boisar  Phase 2","NH, BOISAR  PHASE 2",SAP,West,W,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1000,WBSNH1,THWBRNA03,Boisar,NH Boisar I,West,R110,Affortable Homes,401506,Mumbai,Thane,,Chillar Road,Residential,TH,Tata Housing,"NH, Boisar  Phase 3","NH, Boisar  Phase 3","NH, BOISAR  PHASE 3",SAP,West,W,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1000,WBSRH1,THWBRRP01,Boisar,NH Boisar I,West,R120,Premium Homes,401506,Mumbai,Thane,,Chillar Road,Residential,TH,Tata Housing,"RH, Boisar Phase 1","RH, Boisar Phase 1","RH, BOISAR PHASE 1",SAP,West,W,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1000,WBSGL1,THWBRBR01,Boisar,NH Boisar I,West,C100,Retail / Shopping,401506,Mumbai,Thane,,Chillar Road,Residential,TH,Tata Housing,Boisar – Retail,Boisar – Retail,BOISAR – RETAIL,SAP,West,W,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1000,WLNPR1,THWLNPL01,"Prive, Lon",Prive,West,R130,Luxury Homes,410401,Lonavala,Pune,,"Old Khandala Road,",Residential,TH,Tata Housing,"Prive, Lonavala PH1","Prive, Lonavala PH1","PRIVE, LONAVALA PH1",SAP,West,W,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,,
1000,WLNPR1,THWLNPL02,"Prive, Lon",Prive,West,R130,Luxury Homes,410401,Lonavala,Pune,,"Old Khandala Road,",Residential,TH,Tata Housing,"Prive, Lonavala PH2","Prive, Lonavala PH2","PRIVE, LONAVALA PH2",SAP,West,W,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,,
1000,NGGPM1,THNGGPP01,Gurgaon Pr,Primanti,North,R120,Premium Homes,122001,Gurgaon,Gurgaon,,"Southem Peripheral Road, Sector 72",Residential,TH,Tata Housing,Gurgaon Primanti PH1,Gurgaon Primanti PH1,GURGAON PRIMANTI PH1,SAP,North,N,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,X,
