Company Code,Division Code,Invoice No,Year,Customer Order No,Order Line No,Delivery No,Voucher No,Voucher No Series,Status Invoice ID,Net Invoice Amount FCN,Net Invoice Amount INR,Discount Invoice Amount FCN,Discount Invoice Amount INR,Delivery Delivered Quantity,Delivery Invoiced Quantity,Issued Cost Amount,Line Suffix,Sales Price,Net Price,Cost Price,Project No,Project Element,Status Invoice,Due Date,Invoice Date,Accounting Date,Invoice Warehouse Code,Item No,Invoice Amount INR,Invoice Amount FCN,Contribution Amount,Contribution Percent,Bucket Line Id,Source,Net Invoice Amount Tag ID,Contribution Tag ID,Order MU Code,Line Status,Customer No,Line No,Information Type,Currency Code,Branch Loaction Code,Payment Terms,Order Type,Salesperson,Customer Order Line No,Alsis Code,Alsis Application Code,Alsis Channel Code,Alsis Product Group Code,Alsis Scope Code,Customer Order No Head,Address No,Customer Comany Division Code,Salesperson Name,Customer Address No
5,P3A,4158162,2004,4960332   ,17,1,4125297,411,null,200,200,20,20,0,5,45.5,0,40,0,9.1,       ,        ,95,12/10/2004,11/25/2004,11/25/2004,007,223406-86,180,180,134.5,74.72,66,Product,836,836,4472 ,77,M160,17,31,INR,9    ,009,CSC,419 ,4960332   170,1747012802B,174,701  ,2802 ,B,null,MNGLR,4960332P3A5,Marine & Diesel (PS) - Bangalore,M160MNGLR 
5,P3A,4158162,2004,4960332   ,18,1,4125297,411,null,240,240,24,24,0,4,66.08,0,60,0,16.52,       ,        ,95,12/10/2004,11/25/2004,11/25/2004,007,73920,216,216,149.92,69.4,66,Product,836,836,4472 ,77,M160,18,31,INR,9    ,009,CSC,419 ,4960332   180,1747012802B,174,701  ,2802 ,B,null,MNGLR,4960332P3A5,Marine & Diesel (PS) - Bangalore,M160MNGLR 
5,P3A,4119660,2005,4960332   ,19,4,4134542,411,null,20550,20550,2055,2055,0,2,18635.18,0,10275,0,9046.21,       ,        ,95,10/14/2005,9/29/2005,9/29/2005,007,9656822792,18495,18495,-140.18,-0.75,61,Product,836,837,4472 ,77,M160,19,31,INR,9    ,009,CSC,419 ,4960332   190,1747012802B,174,701  ,2802 ,B,null,MNGLR,4960332P3A5,Marine & Diesel (PS) - Bangalore,M160MNGLR 
5,P3A,4119660,2005,4960332   ,20,5,4134542,411,null,11065,11065,1106.5,1106.5,0,1,8779.83,0,11065,0,9509.5,       ,        ,95,10/14/2005,9/29/2005,9/29/2005,007,9656821894,9958.5,9958.5,1178.67,11.83,62,Product,836,836,4472 ,77,M160,20,31,INR,9    ,009,CSC,419 ,4960332   200,1747012802B,174,701  ,2802 ,B,null,MNGLR,4960332P3A5,Marine & Diesel (PS) - Bangalore,M160MNGLR 
5,P3A,4119660,2005,4960332   ,20,6,4134542,411,null,11065,11065,1106.5,1106.5,0,1,8779.83,0,11065,0,9509.5,       ,        ,95,10/14/2005,9/29/2005,9/29/2005,007,9656821894,9958.5,9958.5,1178.67,11.83,62,Product,836,836,4472 ,77,M160,20,31,INR,9    ,009,CSC,419 ,4960332   200,1747012802B,174,701  ,2802 ,B,null,MNGLR,4960332P3A5,Marine & Diesel (PS) - Bangalore,M160MNGLR 
5,P3A,4157912,2004,4960333   ,1,1,4124916,411,null,3710,3710,241.15,241.15,0,1,49.63,0,3710,0,49.63,       ,        ,95,11/5/2004,11/5/2004,11/5/2004,007,67575,3468.85,3468.85,3419.22,98.56,66,Product,836,836,4472 ,77,S843,1,31,INR,9    ,006,CSC,419 ,4960333   10,1747012802B,174,701  ,2802 ,B,null,KARWA,4960333P3A5,Marine & Diesel (PS) - Bangalore,S843KARWA 
5,P3A,4157912,2004,4960333   ,2,1,4124916,411,null,700,700,45.5,45.5,0,5,123,0,140,0,24.6,       ,        ,95,11/5/2004,11/5/2004,11/5/2004,007,517774-02,654.5,654.5,531.5,81.2,66,Product,836,836,4472 ,77,S843,2,31,INR,9    ,006,CSC,419 ,4960333   20,1747012802B,174,701  ,2802 ,B,null,KARWA,4960333P3A5,Marine & Diesel (PS) - Bangalore,S843KARWA 
5,P3A,4157912,2004,4960333   ,3,1,4124916,411,null,24885,24885,1617.53,1617.53,0,3,951.3,0,8295,0,317.1,       ,        ,95,11/5/2004,11/5/2004,11/5/2004,007,71440,23267.47,23267.47,22316.17,95.91,66,Product,836,836,4472 ,77,S843,3,31,INR,9    ,006,CSC,419 ,4960333   30,1747012802B,174,701  ,2802 ,B,null,KARWA,4960333P3A5,Marine & Diesel (PS) - Bangalore,S843KARWA 
5,P3A,4157912,2004,4960333   ,4,1,4124916,411,null,90,90,5.85,5.85,0,2,12.42,0,45,0,6.21,       ,        ,95,11/5/2004,11/5/2004,11/5/2004,007,223406-31,84.15,84.15,71.73,85.24,66,Product,836,836,4472 ,77,S843,4,31,INR,9    ,006,CSC,419 ,4960333   40,1747012802B,174,701  ,2802 ,B,null,KARWA,4960333P3A5,Marine & Diesel (PS) - Bangalore,S843KARWA 
5,P3A,4157912,2004,4960333   ,5,1,4124916,411,null,70,70,4.55,4.55,0,1,25.67,0,70,0,25.67,       ,        ,95,11/5/2004,11/5/2004,11/5/2004,007,67587,65.45,65.45,39.78,60.77,66,Product,836,836,4472 ,77,S843,5,31,INR,9    ,006,CSC,419 ,4960333   50,1747012802B,174,701  ,2802 ,B,null,KARWA,4960333P3A5,Marine & Diesel (PS) - Bangalore,S843KARWA 
5,P3A,4157912,2004,4960333   ,6,1,4124916,411,null,45,45,2.93,2.93,0,1,6.21,0,45,0,6.21,       ,        ,95,11/5/2004,11/5/2004,11/5/2004,007,223406-31,42.07,42.07,35.86,85.23,66,Product,836,836,4472 ,77,S843,6,31,INR,9    ,006,CSC,419 ,4960333   60,1747012802B,174,701  ,2802 ,B,null,KARWA,4960333P3A5,Marine & Diesel (PS) - Bangalore,S843KARWA 
5,P3A,4158596,2004,4960334   ,1,3,4126013,411,null,660,660,null,null,0,4,43.96,0,165,0,10.99,       ,        ,95,12/23/2004,12/23/2004,12/23/2004,007,68011,660,660,616.04,93.33,66,Product,836,836,4472 ,77,A764,1,31,INR,9    ,57 ,CSC,419 ,4960334   10,1747012802B,174,701  ,2802 ,B,null,BANGL,4960334P3A5,Marine & Diesel (PS) - Bangalore,A764BANGL 
5,P3A,4158596,2004,4960334   ,2,3,4126013,411,null,280,280,null,null,0,4,47.56,0,70,0,11.89,       ,        ,95,12/23/2004,12/23/2004,12/23/2004,007,73632,280,280,232.44,83.01,66,Product,836,836,4472 ,77,A764,2,31,INR,9    ,57 ,CSC,419 ,4960334   20,1747012802B,174,701  ,2802 ,B,null,BANGL,4960334P3A5,Marine & Diesel (PS) - Bangalore,A764BANGL 
5,P3A,4158596,2004,4960334   ,3,3,4126013,411,null,60,60,null,null,0,2,6.96,0,30,0,3.48,       ,        ,95,12/23/2004,12/23/2004,12/23/2004,007,74067,60,60,53.04,88.4,66,Product,836,836,4472 ,77,A764,3,31,INR,9    ,57 ,CSC,419 ,4960334   30,1747012802B,174,701  ,2802 ,B,null,BANGL,4960334P3A5,Marine & Diesel (PS) - Bangalore,A764BANGL 
5,P3A,4158596,2004,4960334   ,4,3,4126013,411,null,280,280,null,null,0,4,15.52,0,70,0,5,       ,        ,95,12/23/2004,12/23/2004,12/23/2004,007,223404-10,280,280,264.48,94.45,66,Product,836,836,4472 ,77,A764,4,31,INR,9    ,57 ,CSC,419 ,4960334   40,1747012802B,174,701  ,2802 ,B,null,BANGL,4960334P3A5,Marine & Diesel (PS) - Bangalore,A764BANGL 
5,P3A,4158596,2004,4960334   ,5,3,4126013,411,null,70,70,null,null,0,2,6.46,0,35,0,4.17,       ,        ,95,12/23/2004,12/23/2004,12/23/2004,007,223404-22,70,70,63.54,90.77,66,Product,836,836,4472 ,77,A764,5,31,INR,9    ,57 ,CSC,419 ,4960334   50,1747012802B,174,701  ,2802 ,B,null,BANGL,4960334P3A5,Marine & Diesel (PS) - Bangalore,A764BANGL 
5,P3A,4158596,2004,4960334   ,6,3,4126013,411,null,360,360,null,null,0,6,93.06,0,60,0,20.01,       ,        ,95,12/23/2004,12/23/2004,12/23/2004,007,223404-82,360,360,266.94,74.15,66,Product,836,836,4472 ,77,A764,6,31,INR,9    ,57 ,CSC,419 ,4960334   60,1747012802B,174,701  ,2802 ,B,null,BANGL,4960334P3A5,Marine & Diesel (PS) - Bangalore,A764BANGL 
5,P3A,4158596,2004,4960334   ,7,3,4126013,411,null,360,360,null,null,0,8,36.16,0,45,0,28.57,       ,        ,95,12/23/2004,12/23/2004,12/23/2004,007,223406-14,360,360,323.84,89.95,66,Product,836,836,4472 ,77,A764,7,31,INR,9    ,57 ,CSC,419 ,4960334   70,1747012802B,174,701  ,2802 ,B,null,BANGL,4960334P3A5,Marine & Diesel (PS) - Bangalore,A764BANGL 
5,P3A,4158596,2004,4960334   ,8,3,4126013,411,null,900,900,null,null,0,4,10.36,0,225,0,3.48,       ,        ,95,12/23/2004,12/23/2004,12/23/2004,007,223406-22,900,900,889.64,98.84,66,Product,836,836,4472 ,77,A764,8,31,INR,9    ,57 ,CSC,419 ,4960334   80,1747012802B,174,701  ,2802 ,B,null,BANGL,4960334P3A5,Marine & Diesel (PS) - Bangalore,A764BANGL 
5,P3A,4158596,2004,4960334   ,9,3,4126013,411,null,180,180,null,null,0,4,25.84,0,45,0,8.18,       ,        ,95,12/23/2004,12/23/2004,12/23/2004,007,223406-35,180,180,154.16,85.64,66,Product,836,836,4472 ,77,A764,9,31,INR,9    ,57 ,CSC,419 ,4960334   90,1747012802B,174,701  ,2802 ,B,null,BANGL,4960334P3A5,Marine & Diesel (PS) - Bangalore,A764BANGL 
5,P3A,4158596,2004,4960334   ,10,3,4126013,411,null,9480,9480,null,null,0,8,672,0,1185,0,109.1,       ,        ,95,12/23/2004,12/23/2004,12/23/2004,007,260104-91,9480,9480,8808,92.91,66,Product,836,836,4472 ,77,A764,10,31,INR,9    ,57 ,CSC,419 ,4960334   100,1747012802B,174,701  ,2802 ,B,null,BANGL,4960334P3A5,Marine & Diesel (PS) - Bangalore,A764BANGL 
